stim_category,item1,item2,avg_dist
stims_ani,bas2,sup1,0.5147178542159182
stims_ani,bas2,sup2,0.6819837068205327
stims_ani,bas2,sup3,0.6330891759022225
stims_ani,bas2,sup4,0.48060048553385915
stims_ani,bas2,sup5,0.6663859097064335
stims_ani,bas2,sup6,0.6756229115785382
stims_ani,bas3,bas4,0.28537596707879476
stims_ani,bas3,sub1,0.418292389811805
stims_ani,bas3,sub2,0.37296531790922455
stims_ani,bas3,sub3,0.39056527810912456
stims_ani,bas3,sub4,0.3718564554688535
stims_ani,bas3,sub5,0.4342150900643472
stims_ani,bas3,sup1,0.5735940883337192
stims_ani,bas3,sup2,0.632935118559486
stims_ani,bas3,sup3,0.6059979350715102
stims_ani,bas3,sup4,0.549441974648232
stims_ani,bas3,sup5,0.6571107089259531
stims_ani,bas3,sup6,0.6262164892098877
stims_ani,bas4,sub1,0.41772864310130065
stims_ani,bas4,sub2,0.4057475549517434
stims_ani,bas4,sub3,0.4128814544980228
stims_ani,bas4,sub4,0.4044127049770281
stims_ani,bas4,sub5,0.4217287867811878
stims_ani,bas4,sup1,0.5225616868050494
stims_ani,bas4,sup2,0.6272831002191939
stims_ani,bas4,sup3,0.5631979047643895
stims_ani,bas4,sup4,0.49378863319081245
stims_ani,bas4,sup5,0.6116532850263222
stims_ani,bas4,sup6,0.6088190177495125
stims_ani,sub1,sub2,0.21567925085113498
stims_ani,sub1,sub3,0.20370172746015672
stims_ani,sub1,sub4,0.19281368389571057
stims_ani,sub1,sub5,0.21628487307949845
stims_ani,sub1,sup1,0.6049212050075551
stims_ani,sub1,sup2,0.7292132837621752
stims_ani,sub1,sup3,0.6010652549330013
stims_ani,sub1,sup4,0.589471344982721
stims_ani,sub1,sup5,0.665013218465039
stims_ani,sub1,sup6,0.703022285847755
stims_ani,sub2,sub3,0.20454233699408336
stims_ani,sub2,sub4,0.20595435119534403
stims_ani,sub2,sub5,0.22488854229893582
stims_ani,sub2,sup1,0.6094385272585253
stims_ani,sub2,sup2,0.7203536178154776
stims_ani,sub2,sup3,0.6267532836615803
stims_ani,sub2,sup4,0.5882177100492081
stims_ani,sub2,sup5,0.6903747819499348
stims_ani,sub2,sup6,0.7008003205963715
stims_ani,sub3,sub4,0.18834802003541637
stims_ani,sub3,sub5,0.2092841214862879
stims_ani,sub3,sup1,0.6148150886091868
stims_ani,sub3,sup2,0.7438903632303713
stims_ani,sub3,sup3,0.5951287810668979
stims_ani,sub3,sup4,0.5994844944627304
stims_ani,sub3,sup5,0.6665672444663159
stims_ani,sub3,sup6,0.7319928020077549
stims_ani,sub4,sub5,0.2082637102922094
stims_ani,sub4,sup1,0.6200214421086435
stims_ani,sub4,sup2,0.7108784178395741
stims_ani,sub4,sup3,0.5968974902175206
stims_ani,sub4,sup4,0.5804633403382355
stims_ani,sub4,sup5,0.6630054282353021
stims_ani,sub4,sup6,0.690486679366387
stims_ani,sub5,sup1,0.6362754357975905
stims_ani,sub5,sup2,0.7648544624515288
stims_ani,sub5,sup3,0.6618931536094416
stims_ani,sub5,sup4,0.5980145581395417
stims_ani,sub5,sup5,0.7333077147891717
stims_ani,sub5,sup6,0.7438449914438807
stims_ani,sup1,sup2,0.5231574742663364
stims_ani,sup1,sup3,0.5191050940647852
stims_ani,sup1,sup4,0.3845200338136306
stims_ani,sup1,sup5,0.5178942276767795
stims_ani,sup1,sup6,0.5219463093999758
stims_ani,sup2,sup3,0.5318074687810858
stims_ani,sup2,sup4,0.513977904945525
stims_ani,sup2,sup5,0.4945049941757903
stims_ani,sup2,sup6,0.4109496824845803
stims_ani,sup3,sup4,0.5429746779653494
stims_ani,sup3,sup5,0.40392727277573265
stims_ani,sup3,sup6,0.4933644090007237
stims_ani,sup4,sup5,0.5703483360162703
stims_ani,sup4,sup6,0.5319532313949046
stims_ani,sup5,sup6,0.4745888881638873
stims_boa,bas1,bas2,0.28043337388323053
stims_boa,bas1,bas3,0.30704515402656263
stims_boa,bas1,bas4,0.23826678485256092
stims_boa,bas1,sub1,0.5841851284206298
stims_boa,bas1,sub2,0.5938386326408832
stims_boa,bas1,sub3,0.6029497578377769
stims_boa,bas1,sub4,0.624520253308027
stims_boa,bas1,sub5,0.5939025894135498
stims_boa,bas1,sup1,0.6494948630529048
stims_boa,bas1,sup2,0.4609803664803274
stims_boa,bas1,sup3,0.6465406235708218
stims_boa,bas1,sup4,0.5963703865804735
stims_boa,bas1,sup5,0.6212207657041401
stims_boa,bas1,sup6,0.4066370405408574
stims_boa,bas1,sup7,0.4712446394815255
stims_boa,bas1,sup8,0.5852756047865318
stims_boa,bas2,bas3,0.3734380934516951
stims_boa,bas2,bas4,0.2954835050709635
stims_boa,bas2,sub1,0.5627698195700632
stims_boa,bas2,sub2,0.5741124449888176
stims_boa,bas2,sub3,0.5951108665346462
stims_boa,bas2,sub4,0.5946767700570177
stims_boa,bas2,sub5,0.5630238946426009
stims_boa,bas2,sup1,0.6133358614330984
stims_boa,bas2,sup2,0.4078703553787239
stims_boa,bas2,sup3,0.6198141933325637
stims_boa,bas2,sup4,0.5619428741769509
stims_boa,bas2,sup5,0.6134709123359501
stims_boa,bas2,sup6,0.3973273410516722
stims_boa,bas2,sup7,0.487266352647768
stims_boa,bas2,sup8,0.5889093855199735
stims_boa,bas3,bas4,0.28120365368564804
stims_boa,bas3,sub1,0.6191760425608133
stims_boa,bas3,sub2,0.6101727509417232
stims_boa,bas3,sub3,0.5995324184597194
stims_boa,bas3,sub4,0.6207969643740862
stims_boa,bas3,sub5,0.6176514807877291
stims_boa,bas3,sup1,0.5835235041564049
stims_boa,bas3,sup2,0.4347456601178566
stims_boa,bas3,sup3,0.6050895306415686
stims_boa,bas3,sup4,0.5802882465744086
stims_boa,bas3,sup5,0.5548125639005812
stims_boa,bas3,sup6,0.5144433430065586
