image_1,image_2,distance
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_air/sup1.jpg,0.455
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_air/sup4.jpg,0.614
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_air/sup2.jpg,0.647
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_air/sub1.jpg,0.442
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_air/sup6.jpg,0.749
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas2.jpg,0.372
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_air/sup3.jpg,0.593
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas4.jpg,0.427
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_air/sub3.jpg,0.496
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_air/sub5.jpg,0.407
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_air/sup5.jpg,0.855
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas3.jpg,0.406
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_air/sub2.jpg,0.458
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_air/sub4.jpg,0.454
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_mus/sup6.jpg,0.798
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_mus/bas1.jpg,0.804
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_mus/bas3.jpg,0.838
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_mus/sub1.jpg,0.808
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_mus/sub2.jpg,0.759
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_mus/bas2.jpg,0.794
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_mus/sub4.jpg,0.795
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_mus/sub5.jpg,0.811
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_mus/sup1.jpg,0.835
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_mus/sub3.jpg,0.803
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_mus/sup5.jpg,0.813
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_mus/sup2.jpg,0.763
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_mus/sup4.jpg,0.843
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_mus/bas4.jpg,0.792
/content/drive/My Drive/CatAct/image_stimuli/stims_air/bas1.jpg,/content/drive/My Drive/CatAct/image_stimuli/stims_mus/sup3.jpg,0.786
